,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,32.0,80710468.34972641,2522202.1359289503,1225.0656878502002,0.0
Residual,542414.0,1116738280.18033,2058.830119024085,,
