,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,32.0,85858889.51685014,2683090.297401567,1285.3042249648688,0.0
Residual,548172.0,1144316610.7599256,2087.513792678075,,
