,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,16.0,9758901.462344876,609931.3413965547,252.8807736972572,0.0
Residual,13047.0,31468482.5376551,2411.9324394615696,,
