,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,33.0,83147695.18209755,2519627.126730229,1146.002255395796,0.0
Residual,545885.0,1200195416.369489,2198.623183215309,,
