,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,29.0,12366292.491002562,426423.8790000883,98.80427559530615,0.0
Residual,25915.0,111845107.48856978,4315.8443946968855,,
