,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,33.0,98648157.68133837,2989338.111555708,1264.3123571421463,0.0
Residual,528991.0,1250745472.8548355,2364.3983978079696,,
