,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,32.0,70501567.29755564,2203173.9780486138,1278.2714832517029,0.0
Residual,544349.0,938216621.0310687,1723.5571683443318,,
