,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,15.0,6221284.086475128,414752.2724316752,216.71630939912984,0.0
Residual,12511.0,23943586.409253992,1913.8027663059702,,
