,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,33.0,82641242.30728914,2504280.0699178525,1135.2639886788047,0.0
Residual,504502.0,1112881511.6420898,2205.901089870981,,
