,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,33.0,97792880.21571967,2963420.6125975656,1271.2074904082947,0.0
Residual,549743.0,1281552972.3695793,2331.1856128583345,,
