,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,16.0,7302596.201778985,456412.26261118654,234.460086566346,0.0
Residual,12976.0,25259760.014491305,1946.6522822511795,,
