,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,33.0,101650999.20730275,3080333.3093122044,1255.0543210460312,0.0
Residual,545782.0,1339536023.286894,2454.3426190070286,,
