,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,33.0,105856397.27651772,3207769.6144399308,1291.4767940021932,0.0
Residual,530780.0,1318351180.4932477,2483.7996542696555,,
