,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,17.0,4540875.176780442,267110.3045164966,138.774366419033,0.0
Residual,12839.0,24712267.028710797,1924.7812936140508,,
