,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,26.0,4917139.176091858,189120.73754199455,57.554349412570076,9.050386543988116e-285
Residual,14608.0,48001163.46046434,3285.9504011818417,,
