,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,28.0,6501961.721490852,232212.91862467327,80.38994986044261,0.0
Residual,15444.0,44611252.04662129,2888.5814586001875,,
