,df,sum_sq,mean_sq,F,PR(>F)
ESTU_DEPTO_RESIDE,29.0,11239997.786993548,387586.13058598444,100.61659285180909,0.0
Residual,21036.0,81032974.89923078,3852.1094741980783,,
